name,datetime,conditions
"Santa Rosa, CA",2019-12-25,2
"Santa Rosa, CA",2019-12-26,0
"Santa Rosa, CA",2019-12-27,0
"Santa Rosa, CA",2019-12-28,0
"Santa Rosa, CA",2019-12-29,2
"Santa Rosa, CA",2019-12-30,1
"Santa Rosa, CA",2019-12-31,1
"Fort Lauderdale, FL",2019-12-14,1
"Fort Lauderdale, FL",2019-12-15,0
"Fort Lauderdale, FL",2019-12-16,1
"Fort Lauderdale, FL",2019-12-17,1
"Fort Lauderdale, FL",2019-12-18,1
"Fort Lauderdale, FL",2019-12-19,2
"Fort Lauderdale, FL",2019-12-20,2
"Fort Lauderdale, FL",2019-12-21,2
"Fort Lauderdale, FL",2019-12-22,2
"Fort Lauderdale, FL",2019-12-23,2
"Fort Lauderdale, FL",2019-12-24,1
"Fort Lauderdale, FL",2019-12-25,2
"Fort Lauderdale, FL",2019-12-26,2
"Fort Lauderdale, FL",2019-12-27,2
"Fort Lauderdale, FL",2019-12-28,2
"Fort Lauderdale, FL",2019-12-29,2
"Fort Lauderdale, FL",2019-12-30,2
"Fort Lauderdale, FL",2019-12-31,1
"Prescott, AZ",2019-12-14,0
"Prescott, AZ",2019-12-15,1
"Prescott, AZ",2019-12-16,0
"Prescott, AZ",2019-12-17,0
"Prescott, AZ",2019-12-18,0
"Prescott, AZ",2019-12-19,0
"Prescott, AZ",2019-12-20,0
"Prescott, AZ",2019-12-21,0
"Prescott, AZ",2019-12-22,0
"Prescott, AZ",2019-12-23,2
"Prescott, AZ",2019-12-24,3
"Prescott, AZ",2019-12-25,3
"Prescott, AZ",2019-12-26,3
"Prescott, AZ",2019-12-27,3
"Prescott, AZ",2019-12-28,3
"Prescott, AZ",2019-12-29,0
"Prescott, AZ",2019-12-30,1
"Prescott, AZ",2019-12-31,0
"Cody, WY",2019-12-14,1
"Cody, WY",2019-12-15,0
"Cody, WY",2019-12-16,0
"Cody, WY",2019-12-17,3
"Cody, WY",2019-12-18,0
